Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
c7g.16xlarge,128.00,AWS Graviton3 Processor,64,64,1,None,None,None
c7g.metal,128.00,AWS Graviton3 Processor,64,64,1,None,None,None
c7gd.medium,2.00,AWS Graviton3 Processor,1,1,1,None,None,None
c7gd.large,4.00,AWS Graviton3 Processor,2,2,1,None,None,None
c7gd.xlarge,8.00,AWS Graviton3 Processor,4,4,1,None,None,None
c7gd.2xlarge,16.00,AWS Graviton3 Processor,8,8,1,None,None,None
c7gd.4xlarge,32.00,AWS Graviton3 Processor,16,16,1,None,None,None
c7gd.8xlarge,64.00,AWS Graviton3 Processor,32,32,1,None,None,None
c7gd.12xlarge,96.00,AWS Graviton3 Processor,48,48,1,None,None,None
c7gd.16xlarge,128.00,AWS Graviton3 Processor,64,64,1,None,None,None
c7gd.metal,128.00,AWS Graviton3 Processor,64,64,1,None,None,None
c7gn.medium,2.00,AWS Graviton3E Processor,1,1,1,None,None,None
c7gn.large,4.00,AWS Graviton3E Processor,2,2,1,None,None,None
c7gn.xlarge,8.00,AWS Graviton3E Processor,4,4,1,None,None,None
c7gn.2xlarge,16.00,AWS Graviton3E Processor,8,8,1,None,None,None
c7gn.4xlarge,32.00,AWS Graviton3E Processor,16,16,1,None,None,None
c7gn.8xlarge,64.00,AWS Graviton3E Processor,32,32,1,None,None,None
c7gn.12xlarge,96.00,AWS Graviton3E Processor,48,48,1,None,None,None
c7gn.16xlarge,128.00,AWS Graviton3E Processor,64,64,1,None,None,None
c7gn.metal,128.00,AWS Graviton3E Processor,64,64,1,None,None,None
c7i.large,4.00,Intel Xeon Sapphire Rapids,2,1,2,None,None,None
c7i.xlarge,8.00,Intel Xeon Sapphire Rapids,4,2,2,None,None,None
c7i.2xlarge,16.00,Intel Xeon Sapphire Rapids,8,4,2,None,None,None
c7i.4xlarge,32.00,Intel Xeon Sapphire Rapids,16,8,2,None,None,None
c7i.8xlarge,64.00,Intel Xeon Sapphire Rapids,32,16,2,None,None,None
c7i.12xlarge,96.00,Intel Xeon Sapphire Rapids,48,24,2,None,None,None
c7i.16xlarge,128.00,Intel Xeon Sapphire Rapids,64,32,2,None,None,None
c7i.24xlarge,192.00,Intel Xeon Sapphire Rapids,96,48,2,None,None,None
c7i.48xlarge,384.00,Intel Xeon Sapphire Rapids,192,96,2,None,None,None
c7i.metal-24xl,192.00,Intel Xeon Sapphire Rapids,96,48,2,None,None,None
c7i.metal-48xl,384.00,Intel Xeon Sapphire Rapids,192,96,2,None,None,None
